S,rd,price
0.75949367,0.02137931,0.00216325
0.75949367,0.02551724,0.00231400
0.75949367,0.02965517,0.00247320
0.75949367,0.03379310,0.00264119
0.75949367,0.03793103,0.00281832
0.75949367,0.04206897,0.00300496
0.75949367,0.04620690,0.00320145
0.75949367,0.05034483,0.00340818
0.75949367,0.05448276,0.00362552
0.75949367,0.05862069,0.00385384
0.75949367,0.06275862,0.00409354
0.75949367,0.06689655,0.00434500
0.75949367,0.07103448,0.00460862
0.75949367,0.07517241,0.00488480
0.75949367,0.07931034,0.00517394
0.75949367,0.08344828,0.00547646
0.75949367,0.08758621,0.00579275
0.75949367,0.09172414,0.00612324
0.75949367,0.09586207,0.00646834
0.75949367,0.10000000,0.00646834
0.81012658,-0.02000000,0.00330079
0.81012658,-0.01586207,0.00330079
0.81012658,-0.01172414,0.00352190
0.81012658,-0.00758621,0.00375468
0.81012658,-0.00344828,0.00399956
0.81012658,0.00068966,0.00425699
0.81012658,0.00482759,0.00452739
0.81012658,0.00896552,0.00481120
0.81012658,0.01310345,0.00510888
0.81012658,0.01724138,0.00542087
0.81012658,0.02137931,0.00574763
0.81012658,0.02551724,0.00608961
0.81012658,0.02965517,0.00644728
0.81012658,0.03379310,0.00682110
0.81012658,0.03793103,0.00721152
0.81012658,0.04206897,0.00761902
0.81012658,0.04620690,0.00804405
0.81012658,0.05034483,0.00848708
0.81012658,0.05448276,0.00894858
0.81012658,0.05862069,0.00942900
0.81012658,0.06275862,0.00992880
0.81012658,0.06689655,0.01044845
0.81012658,0.07103448,0.01098839
0.81012658,0.07517241,0.01154907
0.81012658,0.07931034,0.01213094
0.81012658,0.08344828,0.01273443
0.81012658,0.08758621,0.01335998
0.81012658,0.09172414,0.01400801
0.81012658,0.09586207,0.01467893
0.81012658,0.10000000,0.01467893
0.86075949,-0.02000000,0.00810208
0.86075949,-0.01586207,0.00810208
0.86075949,-0.01172414,0.00856400
0.86075949,-0.00758621,0.00904573
0.86075949,-0.00344828,0.00954778
0.86075949,0.00068966,0.01007065
0.86075949,0.00482759,0.01061484
0.86075949,0.00896552,0.01118085
0.86075949,0.01310345,0.01176916
0.86075949,0.01724138,0.01238025
0.86075949,0.02137931,0.01301462
0.86075949,0.02551724,0.01367272
0.86075949,0.02965517,0.01435503
0.86075949,0.03379310,0.01506199
0.86075949,0.03793103,0.01579406
0.86075949,0.04206897,0.01655166
0.86075949,0.04620690,0.01733522
0.86075949,0.05034483,0.01814515
0.86075949,0.05448276,0.01898185
0.86075949,0.05862069,0.01984572
0.86075949,0.06275862,0.02073711
0.86075949,0.06689655,0.02165640
0.86075949,0.07103448,0.02260392
0.86075949,0.07517241,0.02358001
0.86075949,0.07931034,0.02458496
0.86075949,0.08344828,0.02561908
0.86075949,0.08758621,0.02668264
0.86075949,0.09172414,0.02777590
0.86075949,0.09586207,0.02889909
0.86075949,0.10000000,0.02889909
0.91139241,-0.02000000,0.01712690
0.91139241,-0.01586207,0.01712690
0.91139241,-0.01172414,0.01795551
0.91139241,-0.00758621,0.01881241
0.91139241,-0.00344828,0.01969805
0.91139241,0.00068966,0.02061283
0.91139241,0.00482759,0.02155715
0.91139241,0.00896552,0.02253138
0.91139241,0.01310345,0.02353589
0.91139241,0.01724138,0.02457103
0.91139241,0.02137931,0.02563711
0.91139241,0.02551724,0.02673446
0.91139241,0.02965517,0.02786334
0.91139241,0.03379310,0.02902404
0.91139241,0.03793103,0.03021679
0.91139241,0.04206897,0.03144182
0.91139241,0.04620690,0.03269932
0.91139241,0.05034483,0.03398949
0.91139241,0.05448276,0.03531247
0.91139241,0.05862069,0.03666840
0.91139241,0.06275862,0.03805737
0.91139241,0.06689655,0.03947949
0.91139241,0.07103448,0.04093481
0.91139241,0.07517241,0.04242335
0.91139241,0.07931034,0.04394514
0.91139241,0.08344828,0.04550016
0.91139241,0.08758621,0.04708836
0.91139241,0.09172414,0.04870967
0.91139241,0.09586207,0.05036402
0.91139241,0.10000000,0.05036402
0.96202532,-0.02000000,0.03184581
0.96202532,-0.01586207,0.03184581
0.96202532,-0.01172414,0.03315040
0.96202532,-0.00758621,0.03448961
0.96202532,-0.00344828,0.03586362
0.96202532,0.00068966,0.03727256
0.96202532,0.00482759,0.03871656
0.96202532,0.00896552,0.04019572
0.96202532,0.01310345,0.04171011
0.96202532,0.01724138,0.04325976
0.96202532,0.02137931,0.04484469
0.96202532,0.02551724,0.04646489
0.96202532,0.02965517,0.04812032
0.96202532,0.03379310,0.04981092
0.96202532,0.03793103,0.05153658
0.96202532,0.04206897,0.05329720
0.96202532,0.04620690,0.05509261
0.96202532,0.05034483,0.05692265
0.96202532,0.05448276,0.05878711
0.96202532,0.05862069,0.06068577
0.96202532,0.06275862,0.06261837
0.96202532,0.06689655,0.06458462
0.96202532,0.07103448,0.06658422
